Model,Dataset,Accuracy,Precision,Recall,F1-score,ROC AUC,MCC,Confusion Matrix
best_log_reg_model,Evaluation Set,0.8730980149841662,0.8727934485896269,0.8355400696864111,0.8537605696484201,0.926727886022542,0.7423239020890862,"[[6508, 699], [944, 4796]]"
best_log_reg_model,Test Set,0.8717750656573459,0.868700018597731,0.8304,0.8491183421196146,0.9244348039885262,0.7382995400131214,"[[6615, 706], [954, 4671]]"
best_decision_tree_model,Evaluation Set,0.955356453232409,0.9608928571428571,0.9374564459930314,0.9490299823633157,0.9833676149156187,0.909545967812771,"[[6988, 219], [359, 5381]]"
best_decision_tree_model,Test Set,0.9539626139348061,0.9547838668837041,0.9384888888888889,0.946566254258562,0.9825864226198606,0.9062354281135034,"[[7071, 250], [346, 5279]]"
best_random_forest_model,Evaluation Set,0.9633119641615818,0.9752662935547933,0.9411149825783972,0.9578863374412625,0.9940511040127944,0.9258651511105681,"[[7070, 137], [338, 5402]]"
best_random_forest_model,Test Set,0.9642360574694886,0.9716739766081871,0.9452444444444444,0.9582770118049924,0.9941510358329919,0.9272629540510637,"[[7166, 155], [308, 5317]]"
best_gradient_boosted_trees_model,Evaluation Set,0.9650884374758631,0.9765681326604182,0.9439024390243902,0.9599574769666903,0.9951784439151057,0.9294496377853284,"[[7077, 130], [322, 5418]]"
best_gradient_boosted_trees_model,Test Set,0.9657809361965086,0.9733284618195104,0.9472,0.9600864942787638,0.9954201763572068,0.9304133477282956,"[[7175, 146], [297, 5328]]"
best_lightgbm_model,Evaluation Set,0.9654746273267939,0.9793515667451549,0.9419860627177701,0.9603054790871148,0.9954145432552267,0.9303292668310534,"[[7093, 114], [333, 5407]]"
best_lightgbm_model,Test Set,0.9664761316236675,0.9745840190162736,0.9475555555555556,0.9608797548224265,0.9957101428159482,0.9318436116510825,"[[7182, 139], [295, 5330]]"
best_xgboost_model,Evaluation Set,0.9642388198038155,0.975148568341437,0.9433797909407665,0.9590011511555832,0.9952727192736059,0.9277063442120955,"[[7069, 138], [325, 5415]]"
best_xgboost_model,Test Set,0.9640815695967867,0.9716636197440585,0.9448888888888889,0.9580892293826048,0.9953596138960981,0.9269515928912877,"[[7166, 155], [310, 5315]]"
best_knn_model,Evaluation Set,0.9405267629566695,0.9513258263712314,0.9125435540069686,0.931531211097279,0.9824145998204417,0.8795993526063463,"[[6939, 268], [502, 5238]]"
best_knn_model,Test Set,0.9394407539008188,0.9461751152073733,0.9125333333333333,0.9290497737556561,0.9830116468606293,0.8766937987504693,"[[7029, 292], [492, 5133]]"
best_extra_trees_model,Evaluation Set,0.962307870549162,0.9729827089337176,0.9411149825783972,0.9567835635848388,0.9937966572375193,0.9237824356594673,"[[7057, 150], [338, 5402]]"
best_extra_trees_model,Test Set,0.9612235439517998,0.9687099725526075,0.9411555555555555,0.9547339945897204,0.993608389867808,0.9211252898962123,"[[7150, 171], [331, 5294]]"
best_sgd_model,Evaluation Set,0.874565536417703,0.8815350389321468,0.828397212543554,0.8541404706305011,N/A,0.7454065932987595,"[[6568, 639], [985, 4755]]"
best_sgd_model,Test Set,0.8726247489572069,0.8765151515151515,0.8227555555555556,0.8487849610270518,N/A,0.7400510075473549,"[[6669, 652], [997, 4628]]"
best_perceptron_model,Evaluation Set,0.8279910403954585,0.9046302695231514,0.6841463414634147,0.7790893760539629,N/A,0.6594757883810818,"[[6793, 414], [1813, 3927]]"
best_perceptron_model,Test Set,0.8349297080179205,0.9078578110383536,0.6901333333333334,0.7841632158367842,N/A,0.6706417794816858,"[[6927, 394], [1743, 3882]]"
best_tf_mlp_model,Evaluation Set,0.9617672047578589,0.9715878439129653,0.9412891986062718,0.95619856649854,0.994419430586504,0.9226576329796792,"[[7049, 158], [337, 5403]]"
best_tf_mlp_model,Test Set,0.9615325196972038,0.9673655423883318,0.9432888888888888,0.9551755175517552,0.9944790298835922,0.9217197614660692,"[[7142, 179], [319, 5306]]"
